x-axis,1,2,3,4,MATH1,MATH2
second,Volt,Volt,Volt,Volt,Volt,Volt
-3.70312E-09,-33.59832736896E-03,+836.82010882E-06,+13.43096274650E-03,+8.53556510992E-03,-32.81250000000E-03,+21.87500000000E-03
-3.68750E-09,-32.97071228735E-03,+1.00418413058E-03,+15.35564899678E-03,+9.20502119698E-03,-32.03125000000E-03,+24.51171875000E-03
-3.67187E-09,-32.30125620030E-03,+1.17154815234E-03,+17.32217625250E-03,+9.83263627859E-03,-31.15234375000E-03,+27.14843750000E-03
-3.65625E-09,-31.63180011324E-03,+1.33891217411E-03,+19.28870350821E-03,+10.41841035476E-03,-30.37109375000E-03,+29.68750000000E-03
-3.64062E-09,-30.92050302075E-03,+1.50627619587E-03,+21.17154875305E-03,+11.04602543637E-03,-29.49218750000E-03,+32.12890625000E-03
-3.62500E-09,-30.16736492282E-03,+1.67364021763E-03,+23.05439399788E-03,+11.63179951254E-03,-28.51562500000E-03,+34.66796875000E-03
-3.60937E-09,-29.37238581944E-03,+1.84100423940E-03,+24.89539823728E-03,+12.21757358871E-03,-27.53906250000E-03,+37.10937500000E-03
-3.59375E-09,-28.57740671607E-03,+2.00836826116E-03,+26.69456147123E-03,+12.76150665945E-03,-26.66015625000E-03,+39.45312500000E-03
-3.57812E-09,-27.74058660725E-03,+2.17573228292E-03,+28.45188369975E-03,+13.34728073562E-03,-25.58593750000E-03,+41.79687500000E-03
-3.56250E-09,-26.90376649843E-03,+2.34309630469E-03,+30.12552391738E-03,+13.89121380635E-03,-24.60937500000E-03,+43.94531250000E-03
-3.54687E-09,-26.02510538418E-03,+2.51046032645E-03,+31.75732312957E-03,+14.47698788252E-03,-23.53515625000E-03,+46.19140625000E-03
-3.53125E-09,-25.10460326448E-03,+2.67782434821E-03,+33.34728133632E-03,+15.02092095325E-03,-22.46093750000E-03,+48.33984375000E-03
-3.51562E-09,-24.18410114478E-03,+2.80334736453E-03,+34.89539853763E-03,+15.56485402398E-03,-21.38671875000E-03,+50.39062500000E-03
-3.50000E-09,-23.26359902508E-03,+2.92887038086E-03,+36.40167473350E-03,+16.10878709471E-03,-20.41015625000E-03,+52.44140625000E-03
-3.48437E-09,-22.25941489450E-03,+3.09623440262E-03,+37.86610992393E-03,+16.65272016544E-03,-19.23828125000E-03,+54.49218750000E-03
-3.46875E-09,-21.29707176937E-03,+3.22175741894E-03,+39.33054511436E-03,+17.15481223073E-03,-18.16406250000E-03,+56.44531250000E-03
-3.45312E-09,-20.25104663335E-03,+3.34728043526E-03,+40.75313929934E-03,+17.69874530146E-03,-16.99218750000E-03,+58.39843750000E-03
-3.43750E-09,-19.24686250277E-03,+3.43096244615E-03,+42.13389247889E-03,+18.20083736675E-03,-15.82031250000E-03,+60.25390625000E-03
-3.42187E-09,-18.15899636131E-03,+3.55648546247E-03,+43.51464565844E-03,+18.66108842660E-03,-14.64843750000E-03,+62.10937500000E-03
-3.40625E-09,-17.11297122529E-03,+3.64016747335E-03,+44.85355783254E-03,+19.16318049189E-03,-13.47656250000E-03,+63.96484375000E-03
-3.39062E-09,-15.98326407838E-03,+3.72384948423E-03,+46.19247000665E-03,+19.62343155174E-03,-12.30468750000E-03,+65.72265625000E-03
-3.37500E-09,-14.89539793692E-03,+3.80753149511E-03,+47.44770016987E-03,+20.08368261159E-03,-11.13281250000E-03,+67.48046875000E-03
-3.35937E-09,-13.76569079002E-03,+3.89121350599E-03,+48.66108932765E-03,+20.50209266599E-03,-9.96093750000E-03,+69.14062500000E-03
-3.34375E-09,-12.63598364312E-03,+3.93305451144E-03,+49.87447848544E-03,+20.92050272040E-03,-8.78906250000E-03,+70.70312500000E-03
-3.32812E-09,-11.46443549078E-03,+4.01673652232E-03,+51.00418563234E-03,+21.29707176937E-03,-7.51953125000E-03,+72.26562500000E-03
-3.31250E-09,-10.29288733844E-03,+4.05857752776E-03,+52.05021076836E-03,+21.67364081834E-03,-6.25000000000E-03,+73.63281250000E-03
-3.29687E-09,-9.16318019153E-03,+4.14225953864E-03,+53.05439489894E-03,+22.05020986730E-03,-5.07812500000E-03,+75.09765625000E-03
